instance,scenario,idle_ratio,machine,processing_power,idle_power
mk12,independent,0.3,10,3.75,1.125
mk12,speed,0.05,1,4.46667935659394,0.22333396782969703
mk12,speed,0.05,2,3.7930736377498633,0.18965368188749318
mk12,speed,0.05,3,5.679844669495004,0.2839922334747502
mk12,speed,0.05,4,2.5689823648730523,0.12844911824365263
mk12,speed,0.05,5,2.0,0.1
mk12,speed,0.05,6,3.0533368542994657,0.1526668427149733
mk12,speed,0.05,7,3.969685430420223,0.19848427152101117
mk12,speed,0.05,8,2.749814192923541,0.13749070964617705
mk12,speed,0.05,9,6.0,0.30000000000000004
mk12,speed,0.05,10,2.262782360262273,0.11313911801311366
mk12,speed,0.15,1,4.46667935659394,0.670001903489091
mk12,speed,0.15,2,3.7930736377498633,0.5689610456624795
mk12,speed,0.15,3,5.679844669495004,0.8519767004242507
mk12,speed,0.15,4,2.5689823648730523,0.3853473547309578
mk12,speed,0.15,5,2.0,0.3
mk12,speed,0.15,6,3.0533368542994657,0.4580005281449198
mk12,speed,0.15,7,3.969685430420223,0.5954528145630335
mk12,speed,0.15,8,2.749814192923541,0.41247212893853114
mk12,speed,0.15,9,6.0,0.8999999999999999
mk12,speed,0.15,10,2.262782360262273,0.3394173540393409
mk12,speed,0.3,1,4.46667935659394,1.340003806978182
mk12,speed,0.3,2,3.7930736377498633,1.137922091324959
mk12,speed,0.3,3,5.679844669495004,1.7039534008485013
mk12,speed,0.3,4,2.5689823648730523,0.7706947094619157
mk12,speed,0.3,5,2.0,0.6
mk12,speed,0.3,6,3.0533368542994657,0.9160010562898396
mk12,speed,0.3,7,3.969685430420223,1.190905629126067
mk12,speed,0.3,8,2.749814192923541,0.8249442578770623
mk12,speed,0.3,9,6.0,1.7999999999999998
mk12,speed,0.3,10,2.262782360262273,0.6788347080786818
mk13,independent,0.05,1,5.5,0.275
mk13,independent,0.05,2,2.0,0.1
mk13,independent,0.05,3,2.75,0.1375
mk13,independent,0.05,4,3.5,0.17500000000000002
mk13,independent,0.05,5,4.25,0.21250000000000002
mk13,independent,0.05,6,5.0,0.25
mk13,independent,0.05,7,5.75,0.28750000000000003
mk13,independent,0.05,8,2.25,0.1125
mk13,independent,0.05,9,3.0,0.15000000000000002
mk13,independent,0.05,10,3.75,0.1875
mk13,independent,0.15,1,5.5,0.825
mk13,independent,0.15,2,2.0,0.3
mk13,independent,0.15,3,2.75,0.4125
mk13,independent,0.15,4,3.5,0.525
mk13,independent,0.15,5,4.25,0.6375
mk13,independent,0.15,6,5.0,0.75
mk13,independent,0.15,7,5.75,0.8624999999999999
mk13,independent,0.15,8,2.25,0.33749999999999997
mk13,independent,0.15,9,3.0,0.44999999999999996
mk13,independent,0.15,10,3.75,0.5625
mk13,independent,0.3,1,5.5,1.65
mk13,independent,0.3,2,2.0,0.6
mk13,independent,0.3,3,2.75,0.825
mk13,independent,0.3,4,3.5,1.05
mk13,independent,0.3,5,4.25,1.275
mk13,independent,0.3,6,5.0,1.5
mk13,independent,0.3,7,5.75,1.7249999999999999
mk13,independent,0.3,8,2.25,0.6749999999999999
mk13,independent,0.3,9,3.0,0.8999999999999999
mk13,independent,0.3,10,3.75,1.125
mk13,speed,0.05,1,2.2517160902255653,0.11258580451127827
mk13,speed,0.05,2,3.252549258517036,0.1626274629258518
mk13,speed,0.05,3,6.0,0.30000000000000004
mk13,speed,0.05,4,4.307391441765009,0.21536957208825047
mk13,speed,0.05,5,2.772366698564595,0.13861833492822975
mk13,speed,0.05,6,2.0,0.1
mk13,speed,0.05,7,3.381017914110431,0.16905089570552156
mk13,speed,0.05,8,2.6801729275970643,0.1340086463798532
mk13,speed,0.05,9,2.09697113249445,0.1048485566247225
mk13,speed,0.05,10,3.730205350318472,0.1865102675159236
mk13,speed,0.15,1,2.2517160902255653,0.33775741353383476
mk13,speed,0.15,2,3.252549258517036,0.48788238877755535
mk13,speed,0.15,3,6.0,0.8999999999999999
mk13,speed,0.15,4,4.307391441765009,0.6461087162647514
mk13,speed,0.15,5,2.772366698564595,0.41585500478468923
mk13,speed,0.15,6,2.0,0.3
mk13,speed,0.15,7,3.381017914110431,0.5071526871165646
mk13,speed,0.15,8,2.6801729275970643,0.40202593913955964
mk13,speed,0.15,9,2.09697113249445,0.3145456698741675
mk13,speed,0.15,10,3.730205350318472,0.5595308025477708
mk13,speed,0.3,1,2.2517160902255653,0.6755148270676695
mk13,speed,0.3,2,3.252549258517036,0.9757647775551107
mk13,speed,0.3,3,6.0,1.7999999999999998
mk13,speed,0.3,4,4.307391441765009,1.2922174325295028
mk13,speed,0.3,5,2.772366698564595,0.8317100095693785
mk13,speed,0.3,6,2.0,0.6
mk13,speed,0.3,7,3.381017914110431,1.0143053742331292
mk13,speed,0.3,8,2.6801729275970643,0.8040518782791193
mk13,speed,0.3,9,2.09697113249445,0.629091339748335
mk13,speed,0.3,10,3.730205350318472,1.1190616050955415
mk14,independent,0.05,1,5.5,0.275
mk14,independent,0.05,2,2.0,0.1
mk14,independent,0.05,3,2.75,0.1375
mk14,independent,0.05,4,3.5,0.17500000000000002
mk14,independent,0.05,5,4.25,0.21250000000000002
mk14,independent,0.05,6,5.0,0.25
mk14,independent,0.05,7,5.75,0.28750000000000003
mk14,independent,0.05,8,2.25,0.1125
mk14,independent,0.05,9,3.0,0.15000000000000002
mk14,independent,0.05,10,3.75,0.1875
mk14,independent,0.05,11,4.5,0.225
mk14,independent,0.05,12,5.25,0.2625
mk14,independent,0.05,13,6.0,0.30000000000000004
mk14,independent,0.05,14,2.5,0.125
mk14,independent,0.05,15,3.25,0.1625
mk14,independent,0.15,1,5.5,0.825
mk14,independent,0.15,2,2.0,0.3
mk14,independent,0.15,3,2.75,0.4125
mk14,independent,0.15,4,3.5,0.525
mk14,independent,0.15,5,4.25,0.6375
mk14,independent,0.15,6,5.0,0.75
mk14,independent,0.15,7,5.75,0.8624999999999999
mk14,independent,0.15,8,2.25,0.33749999999999997
mk14,independent,0.15,9,3.0,0.44999999999999996
mk14,independent,0.15,10,3.75,0.5625
mk14,independent,0.15,11,4.5,0.6749999999999999
mk14,independent,0.15,12,5.25,0.7875
mk14,independent,0.15,13,6.0,0.8999999999999999
mk14,independent,0.15,14,2.5,0.375
mk14,independent,0.15,15,3.25,0.4875
mk14,independent,0.3,1,5.5,1.65
mk14,independent,0.3,2,2.0,0.6
mk14,independent,0.3,3,2.75,0.825
mk14,independent,0.3,4,3.5,1.05
mk14,independent,0.3,5,4.25,1.275
mk14,independent,0.3,6,5.0,1.5
mk14,independent,0.3,7,5.75,1.7249999999999999
mk14,independent,0.3,8,2.25,0.6749999999999999
mk14,independent,0.3,9,3.0,0.8999999999999999
mk14,independent,0.3,10,3.75,1.125
mk14,independent,0.3,11,4.5,1.3499999999999999
mk14,independent,0.3,12,5.25,1.575
mk14,independent,0.3,13,6.0,1.7999999999999998
mk14,independent,0.3,14,2.5,0.75
mk14,independent,0.3,15,3.25,0.975
mk14,speed,0.05,1,6.0,0.30000000000000004
mk14,speed,0.05,2,3.4712195121951224,0.17356097560975614
mk14,speed,0.05,3,3.9536842105263155,0.1976842105263158
mk14,speed,0.05,4,5.7743283582089555,0.2887164179104478
mk14,speed,0.05,5,2.3539793814433,0.117698969072165
mk14,speed,0.05,6,3.2241702127659577,0.16120851063829789
mk14,speed,0.05,7,4.729411764705882,0.23647058823529413
mk14,speed,0.05,8,2.8069565217391306,0.14034782608695653
mk14,speed,0.05,9,3.6842307692307696,0.18421153846153848
mk14,speed,0.05,10,3.03675,0.15183750000000001
mk14,speed,0.05,11,3.0236528028933094,0.15118264014466548
mk14,speed,0.05,12,4.7542664418212475,0.23771332209106238
mk14,speed,0.05,13,4.740265095729012,0.23701325478645063
mk14,speed,0.05,14,3.826567164179105,0.19132835820895525
mk14,speed,0.05,15,2.0,0.1
mk14,speed,0.15,1,6.0,0.8999999999999999
mk14,speed,0.15,2,3.4712195121951224,0.5206829268292683
mk14,speed,0.15,3,3.9536842105263155,0.5930526315789473
mk14,speed,0.15,4,5.7743283582089555,0.8661492537313433
mk14,speed,0.15,5,2.3539793814433,0.35309690721649495
mk14,speed,0.15,6,3.2241702127659577,0.48362553191489366
mk14,speed,0.15,7,4.729411764705882,0.7094117647058823
mk14,speed,0.15,8,2.8069565217391306,0.4210434782608696
mk14,speed,0.15,9,3.6842307692307696,0.5526346153846154
mk14,speed,0.15,10,3.03675,0.4555125
mk14,speed,0.15,11,3.0236528028933094,0.4535479204339964
mk14,speed,0.15,12,4.7542664418212475,0.7131399662731871
mk14,speed,0.15,13,4.740265095729012,0.7110397643593518
mk14,speed,0.15,14,3.826567164179105,0.5739850746268657
mk14,speed,0.15,15,2.0,0.3
mk14,speed,0.3,1,6.0,1.7999999999999998
mk14,speed,0.3,2,3.4712195121951224,1.0413658536585366
mk14,speed,0.3,3,3.9536842105263155,1.1861052631578946
mk14,speed,0.3,4,5.7743283582089555,1.7322985074626867
mk14,speed,0.3,5,2.3539793814433,0.7061938144329899
mk14,speed,0.3,6,3.2241702127659577,0.9672510638297873
mk14,speed,0.3,7,4.729411764705882,1.4188235294117646
mk14,speed,0.3,8,2.8069565217391306,0.8420869565217391
mk14,speed,0.3,9,3.6842307692307696,1.105269230769231
mk14,speed,0.3,10,3.03675,0.911025
mk14,speed,0.3,11,3.0236528028933094,0.9070958408679928
mk14,speed,0.3,12,4.7542664418212475,1.4262799325463742
mk14,speed,0.3,13,4.740265095729012,1.4220795287187036
mk14,speed,0.3,14,3.826567164179105,1.1479701492537313
mk14,speed,0.3,15,2.0,0.6
mk15,independent,0.05,1,5.5,0.275
mk15,independent,0.05,2,2.0,0.1
mk15,independent,0.05,3,2.75,0.1375
mk15,independent,0.05,4,3.5,0.17500000000000002
mk15,independent,0.05,5,4.25,0.21250000000000002
mk15,independent,0.05,6,5.0,0.25
mk15,independent,0.05,7,5.75,0.28750000000000003
mk15,independent,0.05,8,2.25,0.1125
mk15,independent,0.05,9,3.0,0.15000000000000002
mk15,independent,0.05,10,3.75,0.1875
mk15,independent,0.05,11,4.5,0.225
mk15,independent,0.05,12,5.25,0.2625
mk15,independent,0.05,13,6.0,0.30000000000000004
mk15,independent,0.05,14,2.5,0.125
mk15,independent,0.05,15,3.25,0.1625
mk15,independent,0.15,1,5.5,0.825
mk15,independent,0.15,2,2.0,0.3
mk15,independent,0.15,3,2.75,0.4125
mk15,independent,0.15,4,3.5,0.525
mk15,independent,0.15,5,4.25,0.6375
mk15,independent,0.15,6,5.0,0.75
mk15,independent,0.15,7,5.75,0.8624999999999999
mk15,independent,0.15,8,2.25,0.33749999999999997
mk15,independent,0.15,9,3.0,0.44999999999999996
mk15,independent,0.15,10,3.75,0.5625
mk15,independent,0.15,11,4.5,0.6749999999999999
mk15,independent,0.15,12,5.25,0.7875
mk15,independent,0.15,13,6.0,0.8999999999999999
mk15,independent,0.15,14,2.5,0.375
mk15,independent,0.15,15,3.25,0.4875
mk15,independent,0.3,1,5.5,1.65
mk15,independent,0.3,2,2.0,0.6
mk15,independent,0.3,3,2.75,0.825
mk15,independent,0.3,4,3.5,1.05
mk15,independent,0.3,5,4.25,1.275
mk15,independent,0.3,6,5.0,1.5
mk15,independent,0.3,7,5.75,1.7249999999999999
mk15,independent,0.3,8,2.25,0.6749999999999999
mk15,independent,0.3,9,3.0,0.8999999999999999
mk15,independent,0.3,10,3.75,1.125
mk15,independent,0.3,11,4.5,1.3499999999999999
mk15,independent,0.3,12,5.25,1.575
mk15,independent,0.3,13,6.0,1.7999999999999998
mk15,independent,0.3,14,2.5,0.75
mk15,independent,0.3,15,3.25,0.975
mk15,speed,0.05,1,3.7240236882775553,0.18620118441387778
mk15,speed,0.05,2,4.183032734793731,0.20915163673968654
mk15,speed,0.05,3,3.0407222228976467,0.15203611114488236
mk15,speed,0.05,4,5.226822382041825,0.2613411191020913
mk15,speed,0.05,5,6.0,0.30000000000000004
mk15,speed,0.05,6,3.7235956349884622,0.18617978174942312
mk15,speed,0.05,7,4.087884622056965,0.20439423110284827
mk15,speed,0.05,8,5.121068878758384,0.2560534439379192
mk15,speed,0.05,9,4.400708559575866,0.22003542797879333
mk15,speed,0.05,10,3.409952429003894,0.1704976214501947
mk15,speed,0.05,11,4.05346906513804,0.202673453256902
mk15,speed,0.05,12,2.2108530344529336,0.11054265172264668
mk15,speed,0.05,13,2.6273944712390738,0.1313697235619537
mk15,speed,0.05,14,2.0,0.1
mk15,speed,0.05,15,2.5114866228488832,0.12557433114244418
mk15,speed,0.15,1,3.7240236882775553,0.5586035532416332
mk15,speed,0.15,2,4.183032734793731,0.6274549102190595
mk15,speed,0.15,3,3.0407222228976467,0.45610833343464696
mk15,speed,0.15,4,5.226822382041825,0.7840233573062737
mk15,speed,0.15,5,6.0,0.8999999999999999
mk15,speed,0.15,6,3.7235956349884622,0.5585393452482693
mk15,speed,0.15,7,4.087884622056965,0.6131826933085447
mk15,speed,0.15,8,5.121068878758384,0.7681603318137575
mk15,speed,0.15,9,4.400708559575866,0.6601062839363799
mk15,speed,0.15,10,3.409952429003894,0.511492864350584
mk15,speed,0.15,11,4.05346906513804,0.6080203597707059
mk15,speed,0.15,12,2.2108530344529336,0.33162795516794
mk15,speed,0.15,13,2.6273944712390738,0.39410917068586104
mk15,speed,0.15,14,2.0,0.3
mk15,speed,0.15,15,2.5114866228488832,0.37672299342733245
mk15,speed,0.3,1,3.7240236882775553,1.1172071064832665
mk15,speed,0.3,2,4.183032734793731,1.254909820438119
mk15,speed,0.3,3,3.0407222228976467,0.9122166668692939
mk15,speed,0.3,4,5.226822382041825,1.5680467146125474
mk15,speed,0.3,5,6.0,1.7999999999999998
mk15,speed,0.3,6,3.7235956349884622,1.1170786904965386
mk15,speed,0.3,7,4.087884622056965,1.2263653866170894
mk15,speed,0.3,8,5.121068878758384,1.536320663627515
mk15,speed,0.3,9,4.400708559575866,1.3202125678727599
mk15,speed,0.3,10,3.409952429003894,1.022985728701168
mk15,speed,0.3,11,4.05346906513804,1.2160407195414118
mk15,speed,0.3,12,2.2108530344529336,0.66325591033588
mk15,speed,0.3,13,2.6273944712390738,0.7882183413717221
mk15,speed,0.3,14,2.0,0.6
mk15,speed,0.3,15,2.5114866228488832,0.7534459868546649
